HOME,REST,FORM_PTS,FORM_FG2A,FORM_FG3A,FORM_FTA,FG2_PCT,FG3_PCT,FT_PCT,FORM_MIN,OPP_PACE,OPP_DEF_RATING,PTS
0,2.0,19.2,4.4,7.6,2.6,0.6818181818181818,0.4736842105263158,0.923076923076923,33.2,100.3,113.8,17
0,1.0,17.8,5.0,7.6,2.6,0.64,0.39473684210526316,0.923076923076923,34.8,100.3,113.8,18
0,2.0,17.6,5.0,8.8,2.6,0.6,0.3409090909090909,1.0,35.8,105.2,112.6,21
1,2.0,18.4,4.8,9.4,2.0,0.5416666666666667,0.40425531914893614,0.9,33.8,101.3,108.9,26
1,2.0,21.0,4.8,10.6,2.6,0.5,0.43396226415094336,0.923076923076923,34.2,99.0,112.8,14
0,2.0,19.2,5.0,10.8,3.0,0.52,0.3518518518518518,0.8666666666666667,35.4,101.4,110.9,15
1,2.0,18.8,5.0,10.0,2.6,0.52,0.38,0.8461538461538461,35.6,105.2,112.6,31
0,1.0,21.4,4.8,9.8,2.8,0.625,0.4489795918367347,0.7857142857142858,36.4,99.0,112.8,9
1,3.0,19.0,3.8,9.8,2.4,0.5789473684210527,0.42857142857142855,0.8333333333333334,35.0,102.4,111.7,18
1,3.0,17.4,4.8,9.0,2.2,0.5833333333333334,0.37777777777777777,0.7272727272727273,36.0,102.4,109.0,19
0,3.0,18.4,4.8,9.2,1.6,0.5416666666666667,0.4347826086956522,0.7499999999999999,35.8,103.5,116.2,10
1,2.0,17.4,4.2,9.6,1.6,0.5714285714285714,0.3958333333333333,0.7499999999999999,35.8,99.8,108.6,19
1,1.0,15.0,4.2,9.0,1.0,0.5714285714285714,0.35555555555555557,0.6,35.8,99.7,107.9,19
0,4.0,17.0,4.4,9.0,1.4,0.5909090909090908,0.4,0.7142857142857143,37.6,105.3,112.5,16
1,3.0,16.6,3.2,8.2,1.0,0.6875,0.4634146341463415,0.8,34.2,98.4,110.6,19
1,2.0,16.6,2.6,9.2,0.8,0.7692307692307692,0.4347826086956522,0.7499999999999999,32.0,102.5,110.1,14
1,2.0,17.4,2.8,9.8,1.6,0.6428571428571429,0.42857142857142855,0.7499999999999999,32.4,101.4,110.9,6
1,1.0,14.8,2.6,9.6,2.0,0.5384615384615384,0.3541666666666667,0.9,32.2,106.2,110.0,10
1,5.0,13.0,2.4,9.2,2.0,0.5833333333333334,0.30434782608695654,0.9,33.6,102.5,110.1,23
0,3.0,14.4,2.2,10.0,2.4,0.45454545454545453,0.33999999999999997,0.9166666666666667,35.0,103.5,116.2,15
1,4.0,13.6,2.4,9.0,3.2,0.4166666666666667,0.3333333333333333,0.8125,35.8,105.3,112.5,16
0,2.0,14.0,2.0,9.2,3.0,0.6,0.32608695652173914,0.8666666666666667,35.4,105.3,112.5,8
0,2.0,14.4,2.8,8.8,2.6,0.5714285714285715,0.3409090909090909,0.8461538461538461,33.2,98.6,106.8,17
1,2.0,15.8,3.4,8.8,3.2,0.5294117647058824,0.36363636363636365,0.8125,33.6,99.9,115.2,21
1,2.0,15.4,4.2,8.4,2.8,0.5714285714285714,0.3333333333333333,0.7857142857142858,34.0,102.2,111.3,9
1,2.0,14.2,3.6,8.6,2.0,0.5555555555555556,0.3255813953488372,0.9,33.0,102.2,111.3,17
1,2.0,14.4,4.0,8.4,1.4,0.6,0.3333333333333333,0.8571428571428572,33.6,102.4,111.7,16
