HOME,REST,FORM_PTS,FORM_FG2A,FORM_FG3A,FORM_FTA,FG2_PCT,FG3_PCT,FT_PCT,FORM_MIN,OPP_PACE,OPP_DEF_RATING,PTS
1,2.0,23.8,9.6,8.4,3.6,0.6041666666666666,0.38095238095238093,0.7222222222222222,30.0,98.6,106.8,22
0,1.0,24.0,9.8,8.4,2.6,0.6326530612244897,0.38095238095238093,0.7692307692307692,28.8,101.4,110.9,30
1,2.0,26.2,10.6,8.4,2.6,0.5849056603773585,0.45238095238095233,0.923076923076923,29.8,101.4,110.9,14
0,2.0,23.0,10.8,7.6,2.4,0.5185185185185185,0.4210526315789474,0.9166666666666667,30.2,101.8,116.6,29
1,2.0,23.8,11.2,7.8,2.8,0.5178571428571429,0.4102564102564103,0.9285714285714287,30.4,101.3,108.9,12
1,1.0,21.4,10.4,7.2,3.2,0.4807692307692307,0.38888888888888884,0.9375,29.6,99.0,112.8,22
0,2.0,21.4,9.6,7.4,4.4,0.3958333333333333,0.43243243243243246,0.9545454545454545,32.2,105.3,112.5,36
0,2.0,22.6,8.2,9.0,4.8,0.41463414634146345,0.4222222222222222,0.9166666666666667,32.2,99.9,115.2,23
1,2.0,24.4,8.2,10.2,4.4,0.4634146341463415,0.411764705882353,0.9545454545454545,32.8,105.3,112.5,37
0,4.0,26.0,8.0,11.0,4.6,0.425,0.45454545454545453,0.9130434782608696,32.8,98.3,108.0,35
1,1.0,30.6,10.4,11.8,5.8,0.4807692307692307,0.4406779661016949,0.8620689655172414,35.6,101.8,116.6,10
1,4.0,28.2,10.2,11.6,4.6,0.5294117647058825,0.396551724137931,0.782608695652174,32.6,102.4,111.7,26
1,3.0,26.2,10.0,10.2,3.6,0.54,0.411764705882353,0.7777777777777777,32.6,105.2,112.6,30
0,2.0,27.6,10.4,10.4,5.2,0.5576923076923077,0.3846153846153846,0.7692307692307692,33.0,105.2,112.6,12
1,2.0,22.6,11.0,9.8,3.8,0.49090909090909096,0.3061224489795918,0.7368421052631579,33.2,98.3,108.0,35
1,2.0,22.6,9.4,9.8,3.8,0.4893617021276595,0.36734693877551017,0.6842105263157895,32.2,103.5,116.2,19
1,2.0,24.4,9.8,10.4,4.0,0.4489795918367347,0.40384615384615385,0.75,33.8,102.3,113.1,28
0,2.0,24.8,10.8,10.6,3.8,0.40740740740740744,0.4150943396226416,0.7368421052631579,33.4,100.3,113.8,18
0,1.0,22.4,9.2,9.8,2.6,0.3695652173913044,0.4693877551020407,0.6923076923076923,33.4,98.4,110.6,12
1,5.0,22.4,8.8,8.8,2.8,0.40909090909090906,0.5,0.7142857142857143,32.6,103.5,116.2,20
0,3.0,19.4,8.2,8.8,1.8,0.3658536585365854,0.45454545454545453,0.7777777777777777,32.4,99.0,112.8,18
1,4.0,19.2,7.6,9.2,2.0,0.4210526315789474,0.41304347826086957,0.7,32.8,101.4,110.9,27
1,1.0,19.0,6.4,8.6,3.6,0.53125,0.372093023255814,0.7222222222222222,31.6,99.9,115.2,19
1,2.0,19.2,7.2,8.6,3.4,0.5277777777777778,0.3488372093023256,0.7647058823529412,30.0,102.7,117.7,22
0,4.0,21.2,6.4,9.2,4.2,0.5625,0.391304347826087,0.7619047619047619,30.6,102.3,113.1,33
0,3.0,23.8,6.0,9.4,5.0,0.6333333333333333,0.425531914893617,0.8400000000000001,29.8,101.3,108.9,23
0,1.0,24.8,6.8,9.6,4.2,0.5882352941176471,0.45833333333333337,0.8571428571428571,29.2,100.1,111.4,26
0,3.0,24.6,6.6,10.8,3.6,0.4848484848484849,0.4629629629629629,0.888888888888889,30.2,101.7,113.0,15
1,2.0,23.8,6.2,10.2,4.0,0.5161290322580645,0.45098039215686275,0.9,30.0,100.3,113.8,19
1,3.0,23.2,6.6,10.0,3.0,0.5454545454545455,0.44000000000000006,0.9333333333333332,29.0,102.6,104.7,11
1,4.0,18.8,7.4,9.0,2.4,0.4054054054054054,0.4,0.8333333333333334,30.0,102.2,111.3,19
0,2.0,18.0,7.8,8.2,2.8,0.38461538461538464,0.39024390243902446,0.8571428571428572,30.8,102.2,111.3,35
0,2.0,19.8,9.2,7.4,3.4,0.47826086956521746,0.35135135135135137,0.9411764705882354,30.6,102.6,104.7,8
0,2.0,18.4,10.6,6.8,3.2,0.39622641509433965,0.35294117647058826,0.8749999999999999,29.4,99.8,108.6,36
1,2.0,21.8,11.2,8.4,5.0,0.4285714285714286,0.30952380952380953,0.8800000000000001,30.4,99.4,116.2,33
0,2.0,26.2,12.6,8.8,5.6,0.4761904761904762,0.3409090909090909,0.9285714285714287,29.4,101.6,108.0,19
0,2.0,26.2,13.2,9.0,6.2,0.4848484848484849,0.2888888888888889,0.9032258064516128,30.2,99.9,115.2,37
1,1.0,26.6,12.0,10.2,6.2,0.4666666666666666,0.33333333333333337,0.8387096774193549,30.6,101.6,108.0,33
1,2.0,31.6,13.0,11.6,7.6,0.5076923076923077,0.3448275862068966,0.8421052631578948,33.8,102.5,110.1,21
0,2.0,28.6,11.8,9.8,7.2,0.4915254237288135,0.36734693877551017,0.8611111111111112,33.2,98.4,110.6,34
1,1.0,28.8,11.0,10.2,6.0,0.5636363636363636,0.37254901960784315,0.8333333333333334,33.2,105.2,112.6,24
1,3.0,29.8,9.6,10.6,6.0,0.6041666666666666,0.4150943396226416,0.8333333333333334,31.6,101.7,113.0,12
1,2.0,24.8,8.8,8.6,4.8,0.5909090909090908,0.3953488372093023,0.8750000000000001,29.8,98.3,108.0,31
0,3.0,24.4,7.8,9.2,3.6,0.6923076923076924,0.3695652173913044,0.9444444444444444,29.6,103.5,116.2,33
