HOME,REST,FORM_PTS,FORM_FG2A,FORM_FG3A,FORM_FTA,FG2_PCT,FG3_PCT,FT_PCT,FORM_MIN,OPP_PACE,OPP_DEF_RATING,PTS
0,3.0,6.0,2.4,2.4,1.0,0.33333333333333337,0.5,0.8,25.2,101.6,108.0,14
0,2.0,7.2,3.0,2.8,2.4,0.3333333333333333,0.4285714285714286,0.6666666666666667,28.2,103.5,116.2,18
0,2.0,10.2,3.2,3.2,3.8,0.43749999999999994,0.5,0.6842105263157895,30.0,98.3,108.0,9
0,2.0,11.6,3.8,3.8,4.6,0.4736842105263158,0.4210526315789474,0.6956521739130436,30.6,102.4,109.0,6
0,2.0,12.2,4.0,4.2,4.6,0.45,0.42857142857142855,0.6956521739130436,29.0,102.6,104.7,8
1,2.0,11.0,3.2,3.8,4.4,0.5,0.4210526315789474,0.6818181818181818,29.2,101.7,113.0,11
1,3.0,10.4,2.6,4.0,3.4,0.4615384615384615,0.45,0.7647058823529412,28.6,106.2,110.0,13
0,3.0,9.4,2.8,4.6,2.0,0.4285714285714286,0.391304347826087,0.8,28.8,99.7,107.9,9
1,2.0,9.4,2.8,4.4,1.2,0.35714285714285715,0.5,0.6666666666666667,29.2,105.2,112.6,9
0,2.0,10.0,3.2,4.2,1.6,0.5625,0.42857142857142855,0.625,30.6,101.8,116.6,11
0,1.0,10.6,3.2,4.4,2.8,0.5,0.45454545454545453,0.5,30.4,101.8,114.1,1
1,2.0,8.6,3.2,4.2,2.4,0.43749999999999994,0.38095238095238093,0.4166666666666667,29.4,99.0,112.8,6
1,2.0,7.2,3.0,3.4,3.2,0.39999999999999997,0.35294117647058826,0.37499999999999994,29.2,102.6,104.7,10
0,3.0,7.4,2.8,4.4,2.8,0.5,0.2727272727272727,0.35714285714285715,29.2,99.4,116.2,13
1,6.0,8.2,2.6,4.6,2.6,0.4615384615384615,0.3478260869565218,0.3846153846153846,29.8,99.8,108.6,10
1,2.0,8.0,3.0,4.6,1.6,0.6,0.2608695652173913,0.5,29.0,99.8,108.6,6
0,3.0,9.0,3.4,4.2,1.2,0.7058823529411765,0.2857142857142857,0.5,29.8,101.6,108.0,8
1,4.0,9.4,4.2,4.0,0.4,0.7142857142857143,0.25,1.0,30.0,101.7,113.0,21
0,4.0,11.6,4.6,4.2,1.2,0.6086956521739131,0.38095238095238093,1.0,29.4,106.2,110.0,0
1,4.0,9.0,4.6,3.4,1.0,0.47826086956521746,0.35294117647058826,1.0,27.0,102.2,111.3,4
1,2.0,7.8,3.8,3.6,1.6,0.4210526315789474,0.3333333333333333,0.625,27.0,100.1,111.4,3
1,3.0,7.2,3.2,4.4,1.6,0.3125,0.3181818181818181,0.625,27.6,99.4,116.2,16
1,2.0,8.8,2.6,5.0,1.8,0.3076923076923077,0.4,0.6666666666666666,28.6,102.4,109.0,2
1,3.0,5.0,3.2,3.6,1.4,0.25,0.2777777777777778,0.28571428571428575,27.8,99.9,115.2,15
1,2.0,8.0,3.6,4.4,1.8,0.5,0.2727272727272727,0.4444444444444445,30.2,106.2,110.0,9
1,1.0,9.0,3.8,4.6,1.0,0.4736842105263158,0.3478260869565218,0.6,31.2,100.6,113.5,10
1,2.0,10.4,4.4,4.4,1.0,0.5,0.40909090909090906,0.6,29.4,98.4,110.6,7
0,2.0,8.6,4.8,4.0,1.0,0.45833333333333337,0.3,0.6,27.8,102.5,110.1,7
1,9.0,9.6,4.4,4.2,1.0,0.5909090909090908,0.2857142857142857,0.8,29.2,103.5,116.2,0
1,16.0,6.6,3.6,3.2,0.6,0.4444444444444445,0.3125,0.6666666666666667,23.6,98.6,106.8,4
0,2.0,5.6,3.8,2.4,1.0,0.5263157894736842,0.16666666666666669,0.4,23.2,102.7,117.7,7
0,1.0,5.0,3.6,2.4,1.8,0.5555555555555556,0.0,0.5555555555555556,25.0,100.1,111.4,13
0,2.0,6.2,3.4,2.2,2.2,0.5882352941176471,0.18181818181818182,0.45454545454545453,26.2,105.3,112.5,6
0,2.0,6.0,2.4,1.8,2.6,0.6666666666666667,0.22222222222222224,0.6153846153846154,26.2,101.4,110.9,6
0,2.0,7.2,3.0,2.4,3.4,0.6666666666666666,0.16666666666666669,0.5882352941176471,32.0,101.7,113.0,13
0,1.0,9.0,4.4,2.2,3.6,0.5909090909090908,0.18181818181818182,0.7222222222222222,32.6,101.6,108.0,13
0,8.0,10.2,4.8,2.0,3.2,0.625,0.3,0.7499999999999999,31.8,100.6,113.5,6
1,2.0,8.8,4.8,2.0,2.6,0.625,0.1,0.8461538461538461,30.8,101.7,113.0,13
1,2.0,10.2,6.2,2.2,2.6,0.6129032258064515,0.09090909090909091,0.7692307692307692,29.8,100.3,113.8,15
0,2.0,12.0,6.8,2.6,2.2,0.6470588235294118,0.15384615384615385,0.9090909090909091,28.0,98.6,106.8,12
0,2.0,11.8,6.4,2.6,3.0,0.5937499999999999,0.23076923076923075,0.7999999999999999,28.0,99.9,115.2,13
0,2.0,11.8,7.6,2.4,3.4,0.5263157894736842,0.16666666666666669,0.7647058823529412,29.2,100.3,113.8,16
0,1.0,13.8,8.4,3.2,3.8,0.5,0.25,0.7894736842105263,29.2,99.3,111.8,8
0,2.0,12.8,7.4,3.0,3.8,0.48648648648648646,0.26666666666666666,0.8421052631578948,30.8,99.0,112.8,7
1,2.0,11.2,7.0,2.0,4.0,0.42857142857142855,0.3,0.85,33.0,102.5,110.1,12
1,2.0,11.2,6.0,2.8,3.8,0.4666666666666666,0.28571428571428575,0.8421052631578948,32.8,101.6,111.9,4
1,3.0,9.4,4.0,2.8,3.4,0.45,0.35714285714285715,0.8235294117647058,31.2,100.6,113.5,23
1,2.0,10.8,3.6,3.0,3.8,0.5,0.4666666666666666,0.7894736842105263,31.4,99.3,111.8,9
1,2.0,11.0,3.8,3.8,3.4,0.4736842105263158,0.4210526315789474,0.7647058823529412,30.8,102.3,113.1,10
1,1.0,11.6,3.8,4.0,3.0,0.631578947368421,0.4,0.6666666666666666,30.6,101.4,110.9,3
1,2.0,9.8,3.6,4.0,2.2,0.6666666666666666,0.3,0.6363636363636362,31.6,102.4,111.7,21
0,2.0,13.2,4.2,6.4,2.2,0.6666666666666666,0.3125,0.7272727272727273,32.2,105.2,112.6,5
0,3.0,9.6,3.4,5.8,1.4,0.6470588235294118,0.24137931034482757,0.7142857142857143,33.4,98.4,110.6,2
0,3.0,8.2,2.8,5.4,1.0,0.7142857142857143,0.2222222222222222,0.6,31.6,101.8,116.6,6
0,2.0,7.4,2.4,5.8,1.2,0.5833333333333334,0.20689655172413793,0.8333333333333334,30.2,101.8,114.1,14
0,2.0,9.6,3.2,5.6,0.8,0.625,0.28571428571428575,1.0,27.2,106.2,110.0,13
