HOME,REST,FORM_PTS,FORM_FG2A,FORM_FG3A,FORM_FTA,FG2_PCT,FG3_PCT,FT_PCT,FORM_MIN,OPP_PACE,OPP_DEF_RATING,PTS
0,3.0,25.4,14.2,5.2,5.2,0.47887323943661975,0.5,0.7692307692307692,32.0,101.6,108.0,29
0,2.0,26.8,15.8,5.6,6.4,0.4177215189873417,0.5,0.8125,35.4,105.2,112.6,21
1,2.0,25.8,14.4,6.8,6.0,0.41666666666666663,0.4411764705882353,0.7999999999999999,36.8,101.4,110.9,15
0,2.0,24.6,12.2,7.0,5.4,0.45901639344262296,0.42857142857142855,0.8148148148148149,35.6,102.2,111.3,33
0,2.0,26.8,13.0,6.0,6.2,0.5384615384615384,0.43333333333333335,0.8064516129032258,36.6,99.9,115.2,18
1,1.0,23.2,12.4,5.2,7.0,0.5161290322580645,0.2692307692307692,0.8857142857142858,37.4,105.3,112.5,24
1,2.0,22.2,10.6,6.2,6.2,0.5849056603773585,0.25806451612903225,0.8064516129032258,35.8,99.0,112.8,37
1,2.0,25.4,11.6,5.6,8.2,0.6206896551724138,0.25,0.8292682926829269,35.2,99.0,112.8,12
1,1.0,24.8,11.6,5.6,9.0,0.5689655172413793,0.25,0.8222222222222223,35.6,103.5,116.2,26
0,2.0,23.4,9.8,7.0,7.2,0.5510204081632653,0.31428571428571433,0.8333333333333333,33.4,99.4,116.2,36
0,3.0,27.0,9.6,8.4,6.6,0.5625000000000001,0.42857142857142855,0.8181818181818182,33.8,102.7,117.7,23
0,2.0,26.8,9.4,8.4,6.6,0.574468085106383,0.4047619047619047,0.8787878787878788,34.4,102.3,113.1,23
0,2.0,24.0,8.8,7.8,4.8,0.5,0.46153846153846156,0.9166666666666667,35.2,101.7,113.0,37
0,2.0,29.0,10.6,7.4,5.2,0.6226415094339622,0.48648648648648646,0.9615384615384615,35.6,100.3,113.8,31
1,2.0,30.0,11.8,6.8,7.0,0.5762711864406779,0.5,0.8857142857142858,37.0,101.8,116.6,16
1,2.0,26.0,10.6,6.0,7.0,0.5660377358490566,0.43333333333333335,0.8857142857142858,34.8,98.6,106.8,21
1,2.0,25.6,11.0,4.8,6.8,0.5636363636363636,0.5,0.8823529411764706,32.8,100.3,113.8,24
1,2.0,25.8,9.6,5.0,7.8,0.5833333333333334,0.52,0.8717948717948718,30.6,102.5,110.1,31
0,2.0,24.6,8.8,5.8,7.6,0.5,0.5517241379310345,0.8157894736842106,32.2,102.4,111.7,20
1,2.0,22.4,7.4,6.2,6.2,0.5405405405405405,0.5161290322580645,0.7741935483870968,31.8,105.2,112.6,14
0,4.0,22.0,8.4,6.0,5.8,0.5238095238095238,0.5,0.7241379310344828,33.8,98.6,106.8,31
0,4.0,24.0,8.0,7.0,7.8,0.475,0.5142857142857143,0.717948717948718,36.0,99.8,108.6,14
0,2.0,22.0,9.4,6.8,6.6,0.44680851063829785,0.4411764705882353,0.6969696969696969,36.6,101.8,116.6,39
1,2.0,23.6,8.4,7.4,6.0,0.45238095238095233,0.5135135135135135,0.7666666666666666,35.8,102.4,111.7,12
1,2.0,22.0,9.0,6.8,6.6,0.4444444444444444,0.4411764705882353,0.7575757575757576,35.2,101.8,114.1,20
0,2.0,23.2,10.8,6.6,7.4,0.4444444444444444,0.393939393939394,0.7837837837837838,35.6,98.6,106.8,26
0,1.0,22.2,12.6,5.4,5.8,0.4920634920634921,0.3333333333333333,0.7586206896551725,35.4,103.5,116.2,55
0,2.0,30.4,14.8,6.6,8.8,0.581081081081081,0.30303030303030304,0.8181818181818181,38.2,103.5,116.2,18
0,4.0,26.2,15.2,5.8,8.6,0.5526315789473685,0.13793103448275862,0.813953488372093,37.4,102.6,104.7,22
0,1.0,28.2,17.2,5.8,8.2,0.5465116279069768,0.13793103448275862,0.853658536585366,39.0,105.3,112.5,33
