HOME,REST,FORM_PTS,FORM_FG2A,FORM_FG3A,FORM_FTA,FG2_PCT,FG3_PCT,FT_PCT,FORM_MIN,OPP_PACE,OPP_DEF_RATING,PTS
1,2.0,27.6,11.0,10.8,5.4,0.45454545454545453,0.40740740740740744,0.8148148148148149,34.8,101.3,108.9,7
1,2.0,23.4,11.0,8.8,4.8,0.4,0.40909090909090906,0.7916666666666666,34.6,99.3,111.8,15
1,2.0,22.0,9.8,8.8,4.2,0.42857142857142855,0.36363636363636365,0.9523809523809523,34.6,101.8,114.1,21
0,2.0,20.4,8.4,8.6,4.2,0.38095238095238093,0.3953488372093023,0.9047619047619047,34.2,102.6,104.7,14
0,2.0,16.0,7.8,7.6,3.2,0.38461538461538464,0.3157894736842105,0.8749999999999999,32.2,102.5,110.1,15
1,1.0,14.4,7.4,7.2,3.0,0.37837837837837834,0.2777777777777778,0.9333333333333332,31.8,103.5,116.2,18
1,2.0,16.6,7.6,7.4,3.6,0.4736842105263158,0.27027027027027023,0.9444444444444444,32.4,99.7,107.9,21
1,2.0,17.8,7.6,8.6,3.6,0.4473684210526316,0.3023255813953489,0.888888888888889,33.2,99.7,107.9,8
0,2.0,15.2,7.8,7.8,2.4,0.48717948717948717,0.23076923076923078,0.9166666666666667,31.4,105.3,112.5,18
0,1.0,16.0,8.0,6.6,3.2,0.55,0.21212121212121213,0.9375,30.4,101.4,110.9,21
1,2.0,17.2,9.0,7.0,2.8,0.5111111111111111,0.2571428571428572,0.9285714285714287,31.4,102.2,111.3,14
1,2.0,16.4,8.6,7.0,2.8,0.5116279069767442,0.2571428571428572,0.7857142857142858,29.6,101.6,111.9,17
1,1.0,15.6,8.6,6.2,2.6,0.5348837209302325,0.2258064516129032,0.8461538461538461,28.4,101.6,111.9,10
0,3.0,16.0,8.4,7.0,3.4,0.5,0.2285714285714286,0.8235294117647058,30.0,99.8,108.6,9
0,1.0,14.2,7.8,7.6,2.6,0.4358974358974359,0.2368421052631579,0.7692307692307692,30.0,99.9,115.2,41
1,4.0,18.2,7.4,7.2,5.4,0.5135135135135135,0.2777777777777778,0.8518518518518517,30.4,102.6,104.7,9
0,2.0,17.2,6.6,6.6,5.6,0.4848484848484849,0.30303030303030304,0.8571428571428572,31.6,100.6,113.5,28
0,2.0,19.4,6.4,6.2,6.2,0.53125,0.3870967741935484,0.8709677419354839,32.4,101.3,108.9,14
0,3.0,20.2,7.8,5.2,6.8,0.48717948717948717,0.4230769230769231,0.8823529411764706,33.6,99.7,107.9,31
1,3.0,24.6,8.4,6.8,8.0,0.5,0.4411764705882353,0.9,36.2,101.3,108.9,12
0,3.0,18.8,7.8,6.4,5.6,0.46153846153846156,0.34375,0.8928571428571429,34.2,102.6,104.7,12
1,5.0,19.4,8.4,7.4,4.6,0.5,0.2972972972972973,0.9565217391304349,34.2,101.8,116.6,34
0,3.0,20.6,9.6,7.8,4.6,0.5416666666666667,0.25641025641025644,0.9130434782608696,33.8,102.4,111.7,22
0,1.0,22.2,9.6,8.6,3.8,0.6041666666666666,0.27906976744186046,0.8947368421052632,33.4,100.3,113.8,6
0,3.0,17.2,9.2,6.6,2.2,0.6086956521739131,0.21212121212121213,0.8181818181818181,31.0,101.8,116.6,30
1,1.0,20.8,9.0,8.0,1.8,0.6444444444444444,0.325,0.7777777777777777,30.8,99.8,108.6,14
1,2.0,21.2,9.6,7.6,2.0,0.5625000000000001,0.39473684210526316,0.7,31.8,98.4,110.6,19
1,3.0,18.2,9.6,7.2,2.4,0.47916666666666663,0.3333333333333333,0.75,32.2,101.7,113.0,22
1,2.0,18.2,10.8,6.2,2.8,0.4629629629629629,0.3225806451612903,0.7857142857142858,33.0,98.3,108.0,27
1,2.0,22.4,11.4,8.2,3.2,0.4736842105263158,0.3658536585365854,0.8125,35.2,100.1,111.4,33
0,2.0,23.0,11.8,8.4,4.0,0.47457627118644063,0.3333333333333333,0.85,35.8,103.5,116.2,29
0,2.0,26.0,11.4,10.2,4.0,0.5087719298245613,0.35294117647058826,0.9,34.0,106.2,110.0,27
1,4.0,27.6,11.6,10.2,3.0,0.5344827586206897,0.411764705882353,0.8666666666666667,34.8,106.2,110.0,42
0,2.0,31.6,10.4,10.8,4.2,0.5769230769230769,0.48148148148148145,0.9523809523809523,35.2,102.3,113.1,34
0,1.0,33.0,10.0,10.2,5.4,0.58,0.5294117647058825,0.9629629629629629,34.2,100.6,113.5,28
0,2.0,32.0,10.0,9.4,5.6,0.5599999999999999,0.5531914893617021,0.9285714285714287,34.4,101.6,111.9,26
1,2.0,31.4,10.8,7.6,5.6,0.5740740740740741,0.6052631578947368,0.9285714285714287,34.2,102.5,110.1,19
1,2.0,29.8,10.8,7.6,5.6,0.5555555555555555,0.5526315789473685,0.9285714285714287,32.6,102.4,109.0,10
0,3.0,23.4,10.4,7.6,3.4,0.4615384615384615,0.4736842105263158,0.8823529411764706,31.2,102.4,109.0,26
