HOME,REST,FORM_PTS,FORM_FG2A,FORM_FG3A,FORM_FTA,FG2_PCT,FG3_PCT,FT_PCT,FORM_MIN,OPP_PACE,OPP_DEF_RATING,PTS
0,2.0,25.8,14.4,7.8,7.4,0.4444444444444445,0.3076923076923077,0.7837837837837838,35.8,100.3,113.8,25
0,9.0,26.2,15.2,7.2,8.6,0.5,0.19444444444444442,0.7906976744186046,37.2,101.4,110.9,14
1,2.0,23.6,14.0,7.0,8.8,0.4857142857142857,0.14285714285714285,0.7954545454545454,38.6,105.2,112.6,37
0,1.0,26.2,14.2,6.4,8.8,0.591549295774648,0.15625,0.7272727272727273,38.2,99.0,112.8,24
1,3.0,25.0,14.0,6.6,7.8,0.5428571428571428,0.21212121212121213,0.717948717948718,37.8,102.4,111.7,27
1,3.0,25.4,12.0,5.8,9.0,0.5666666666666667,0.27586206896551724,0.7777777777777778,37.8,102.4,109.0,17
0,3.0,23.8,11.4,6.0,7.4,0.543859649122807,0.3333333333333333,0.7297297297297297,37.8,103.5,116.2,31
1,2.0,27.2,12.6,7.6,7.8,0.5714285714285715,0.3157894736842105,0.717948717948718,37.8,99.8,108.6,29
1,1.0,25.6,11.0,8.4,6.2,0.509090909090909,0.38095238095238093,0.7741935483870968,37.8,99.7,107.9,17
0,4.0,24.2,9.0,8.8,5.2,0.5555555555555556,0.3863636363636363,0.7692307692307692,36.8,105.3,112.5,21
1,3.0,23.0,9.4,9.4,4.0,0.46808510638297873,0.40425531914893614,0.7,35.6,98.4,110.6,29
1,2.0,25.4,9.4,10.2,5.6,0.44680851063829785,0.411764705882353,0.7857142857142858,34.4,102.5,110.1,28
1,2.0,24.8,9.6,8.8,6.2,0.45833333333333337,0.43181818181818177,0.7419354838709676,34.8,101.4,110.9,25
1,1.0,24.0,10.4,8.6,6.2,0.5,0.3488372093023256,0.7419354838709676,34.4,106.2,110.0,22
1,5.0,25.0,11.8,7.8,5.6,0.5254237288135593,0.358974358974359,0.7500000000000001,35.2,102.5,110.1,14
0,3.0,23.6,11.6,6.2,5.0,0.5689655172413793,0.3548387096774194,0.76,33.8,103.5,116.2,11
1,4.0,20.0,11.4,5.0,3.8,0.543859649122807,0.36,0.5789473684210527,32.8,105.3,112.5,19
0,2.0,18.2,10.2,5.4,2.6,0.5490196078431373,0.3333333333333333,0.6153846153846154,32.2,105.3,112.5,19
