HOME,REST,FORM_PTS,FORM_FG2A,FORM_FG3A,FORM_FTA,FG2_PCT,FG3_PCT,FT_PCT,FORM_MIN,OPP_PACE,OPP_DEF_RATING,PTS
1,4.0,13.6,7.6,3.4,2.0,0.5526315789473685,0.35294117647058826,0.8,21.8,103.5,116.2,15
1,2.0,14.2,8.6,3.4,1.4,0.6046511627906977,0.23529411764705885,1.0,22.8,101.4,110.9,18
0,2.0,16.2,9.4,3.8,1.4,0.6595744680851063,0.2105263157894737,1.0,23.4,99.4,116.2,17
0,2.0,18.4,10.0,4.2,1.8,0.6799999999999999,0.23809523809523808,1.0,24.8,101.8,114.1,27
0,2.0,19.2,11.0,4.8,1.0,0.6363636363636364,0.2916666666666667,1.0,25.8,100.3,113.8,21
0,2.0,19.6,11.0,5.6,1.4,0.5636363636363636,0.35714285714285715,0.8571428571428572,26.6,102.4,111.7,14
1,2.0,19.4,11.4,5.6,2.2,0.5263157894736842,0.35714285714285715,0.6363636363636362,27.2,100.1,111.4,11
1,2.0,18.0,11.2,4.6,2.6,0.4821428571428572,0.391304347826087,0.6923076923076923,26.8,102.2,111.3,19
1,2.0,18.4,11.4,4.8,2.6,0.43859649122807015,0.45833333333333337,0.6923076923076923,27.8,102.7,117.7,10
1,4.0,15.0,10.2,4.0,2.4,0.3921568627450981,0.45,0.6666666666666667,28.2,106.2,110.0,25
0,8.0,15.8,10.8,3.8,3.0,0.4259259259259259,0.3684210526315789,0.7999999999999999,29.4,101.4,110.9,25
0,6.0,18.0,11.0,4.4,2.8,0.41818181818181815,0.45454545454545453,1.0,30.4,105.3,112.5,17
0,2.0,19.2,11.0,5.0,2.8,0.41818181818181815,0.48,1.0,32.6,100.1,111.4,21
0,2.0,19.6,10.8,5.4,3.6,0.4444444444444444,0.4444444444444444,0.7777777777777777,33.6,100.1,111.4,33
0,2.0,24.2,12.2,6.8,4.2,0.49180327868852464,0.4411764705882353,0.7619047619047619,35.4,99.4,116.2,21
1,3.0,23.4,12.4,6.8,3.6,0.5,0.4117647058823529,0.7222222222222222,36.0,99.3,111.8,20
1,2.0,22.4,12.0,6.4,4.6,0.5166666666666667,0.34375,0.7391304347826088,37.0,100.6,113.5,17
0,2.0,22.4,12.6,6.8,5.0,0.5396825396825397,0.2647058823529412,0.6799999999999999,38.4,101.8,116.6,29
0,3.0,24.0,13.2,6.8,4.4,0.5606060606060607,0.29411764705882354,0.7272727272727273,38.0,105.2,112.6,25
1,2.0,22.4,13.4,6.2,4.2,0.5522388059701493,0.25806451612903225,0.6666666666666666,37.2,100.3,113.8,23
1,2.0,22.8,13.0,5.8,4.2,0.5384615384615384,0.3448275862068966,0.6666666666666666,35.2,102.4,109.0,33
1,3.0,25.4,13.2,5.8,3.4,0.5606060606060607,0.48275862068965514,0.6470588235294118,34.8,106.2,110.0,23
1,2.0,26.6,12.6,5.0,3.4,0.6190476190476191,0.5599999999999999,0.7647058823529412,34.2,102.6,104.7,25
0,3.0,25.8,13.4,4.2,3.6,0.582089552238806,0.5714285714285714,0.8333333333333333,35.0,99.3,111.8,27
0,2.0,26.2,12.4,4.6,3.8,0.5967741935483871,0.5652173913043479,0.9473684210526316,36.0,99.0,112.8,31
0,3.0,27.8,11.6,5.0,4.6,0.6206896551724138,0.6,0.9565217391304349,36.0,98.6,106.8,21
1,2.0,25.4,12.2,5.0,5.0,0.6065573770491804,0.4,0.9199999999999999,36.8,101.8,116.6,28
1,2.0,26.4,13.0,5.4,5.0,0.5692307692307692,0.4444444444444444,0.8800000000000001,37.0,101.7,113.0,20
1,1.0,25.4,12.2,5.6,4.6,0.5737704918032788,0.4285714285714286,0.9130434782608696,33.8,101.7,113.0,29
1,4.0,25.8,12.6,5.4,4.0,0.5714285714285715,0.48148148148148145,0.9,30.6,101.6,108.0,22
0,2.0,24.0,14.2,5.4,3.2,0.5352112676056338,0.37037037037037035,0.8749999999999999,32.8,100.6,113.5,28
0,2.0,25.4,14.6,4.8,3.2,0.5205479452054794,0.5,0.9375,33.4,101.3,108.9,33
