HOME,REST,FORM_PTS,FORM_FG2A,FORM_FG3A,FORM_FTA,FG2_PCT,FG3_PCT,FT_PCT,FORM_MIN,OPP_PACE,OPP_DEF_RATING,PTS
1,3.0,27.2,15.2,9.6,6.8,0.4473684210526316,0.2916666666666667,0.7647058823529412,37.2,98.6,106.8,32
1,1.0,28.0,14.2,10.0,6.6,0.49295774647887325,0.3,0.7575757575757576,36.4,102.2,111.3,34
1,2.0,26.8,14.6,9.4,7.2,0.4520547945205479,0.2978723404255319,0.7222222222222222,37.0,105.3,112.5,27
1,2.0,29.2,14.2,9.2,7.8,0.47887323943661975,0.3478260869565218,0.7692307692307693,36.8,99.4,116.2,30
0,2.0,30.4,13.0,10.0,7.6,0.47692307692307695,0.4,0.7894736842105263,37.2,102.3,113.1,24
0,2.0,29.4,11.6,10.2,8.0,0.5,0.37254901960784315,0.8,37.8,101.3,108.9,31
0,2.0,29.2,13.2,9.6,7.2,0.5151515151515151,0.33333333333333337,0.8333333333333333,39.6,102.7,117.7,37
1,2.0,29.8,12.8,10.2,5.6,0.5937499999999999,0.3137254901960785,0.8928571428571429,38.8,101.8,114.1,16
1,3.0,27.6,12.0,10.4,4.4,0.6,0.3076923076923077,0.8181818181818181,38.0,101.8,116.6,26
0,12.0,26.8,11.0,9.6,4.8,0.6727272727272727,0.2916666666666667,0.75,35.6,101.6,111.9,36
1,2.0,29.2,11.6,10.0,4.4,0.7068965517241379,0.32,0.7272727272727273,34.6,106.2,110.0,37
0,2.0,30.4,10.8,9.8,7.0,0.6666666666666666,0.38775510204081626,0.6571428571428571,34.4,103.5,116.2,21
0,2.0,27.2,9.8,9.2,6.6,0.6326530612244897,0.391304347826087,0.6060606060606061,33.2,102.4,111.7,30
0,3.0,30.0,9.8,10.0,7.2,0.6326530612244897,0.42000000000000004,0.6944444444444444,35.2,102.6,104.7,16
0,5.0,28.0,9.6,10.0,7.2,0.5625000000000001,0.4,0.7222222222222222,37.2,101.3,108.9,45
1,8.0,29.8,9.2,10.2,8.2,0.5652173913043479,0.4313725490196079,0.7560975609756099,37.6,101.6,111.9,27
1,2.0,27.8,9.0,9.8,6.6,0.6444444444444444,0.36734693877551017,0.8181818181818182,35.6,99.8,108.6,14
1,47.0,26.4,8.4,8.8,5.8,0.6428571428571429,0.40909090909090906,0.8275862068965517,32.4,102.7,117.7,14
0,2.0,23.2,8.4,7.6,5.2,0.6666666666666666,0.34210526315789475,0.8076923076923077,29.6,102.7,117.7,16
1,7.0,23.2,8.0,7.6,5.2,0.7,0.3684210526315789,0.6923076923076923,26.2,100.3,113.8,14
0,3.0,17.0,7.4,7.2,4.2,0.5945945945945946,0.25,0.6666666666666666,25.2,102.3,113.1,32
1,3.0,18.0,7.6,7.6,4.2,0.5,0.3157894736842105,0.7619047619047619,25.4,101.7,113.0,19
1,2.0,19.0,8.8,8.0,5.6,0.5,0.25,0.7500000000000001,29.2,99.8,108.6,21
1,1.0,20.4,9.6,8.4,7.4,0.47916666666666663,0.23809523809523808,0.7027027027027027,31.6,99.7,107.9,31
1,2.0,23.4,11.2,8.6,8.6,0.46428571428571436,0.23255813953488372,0.813953488372093,34.0,99.7,107.9,29
1,2.0,26.4,10.4,9.2,9.6,0.5,0.30434782608695654,0.7916666666666666,34.8,101.8,116.6,30
1,2.0,26.0,9.0,10.0,10.2,0.5111111111111111,0.32,0.7058823529411765,35.4,99.3,111.8,32
0,2.0,28.6,9.2,11.0,11.0,0.5,0.34545454545454546,0.7272727272727273,37.0,98.3,108.0,34
0,2.0,31.2,9.4,11.2,10.2,0.5106382978723404,0.4107142857142857,0.7647058823529412,37.2,99.0,112.8,22
0,3.0,29.4,10.0,11.4,8.8,0.45999999999999996,0.40350877192982454,0.7272727272727273,38.4,101.4,110.9,45
1,3.0,32.6,11.8,11.6,9.4,0.4406779661016949,0.4310344827586207,0.7659574468085106,38.2,99.4,116.2,33
1,1.0,33.2,12.4,11.2,10.0,0.43548387096774194,0.4107142857142857,0.86,39.4,101.8,114.1,21
1,2.0,31.0,12.8,10.2,10.2,0.40625,0.3921568627450981,0.8431372549019608,37.6,102.3,113.1,31
