HOME,REST,FORM_PTS,FORM_FG2A,FORM_FG3A,FORM_FTA,FG2_PCT,FG3_PCT,FT_PCT,FORM_MIN,OPP_PACE,OPP_DEF_RATING,PTS
0,3.0,14.4,6.4,4.8,3.8,0.5625,0.33333333333333337,0.631578947368421,30.4,101.7,113.0,30
1,2.0,16.4,7.0,4.8,4.2,0.5428571428571428,0.4166666666666667,0.6666666666666666,29.8,98.6,106.8,17
0,2.0,17.2,8.0,5.4,4.2,0.475,0.40740740740740744,0.7142857142857143,32.4,100.3,113.8,12
1,2.0,16.8,8.8,5.0,3.4,0.47727272727272724,0.4,0.7058823529411765,31.4,99.3,111.8,26
0,3.0,19.4,8.8,6.0,4.0,0.45454545454545453,0.4666666666666666,0.75,34.0,98.6,106.8,11
1,2.0,19.2,8.6,6.0,4.4,0.4418604651162791,0.4666666666666666,0.7272727272727273,34.8,98.4,110.6,9
1,2.0,15.0,7.4,5.2,4.0,0.43243243243243246,0.3846153846153846,0.65,33.8,98.4,110.6,34
0,3.0,18.4,8.2,5.6,3.2,0.48780487804878053,0.5,0.625,34.6,101.6,108.0,10
0,2.0,18.0,7.4,5.2,3.4,0.5135135135135135,0.5,0.7647058823529412,34.0,101.4,110.9,15
1,2.0,15.8,7.2,4.6,2.2,0.5277777777777778,0.47826086956521746,0.7272727272727273,32.8,103.5,116.2,10
1,1.0,15.6,7.0,4.2,2.2,0.5714285714285714,0.47619047619047616,0.7272727272727273,32.0,101.8,116.6,17
1,2.0,17.2,7.4,4.6,2.2,0.6216216216216215,0.47826086956521746,0.6363636363636362,32.0,101.6,111.9,15
1,2.0,13.4,6.4,4.4,2.0,0.625,0.3181818181818181,0.6,31.6,102.5,110.1,9
0,2.0,13.2,6.2,4.8,1.4,0.6129032258064515,0.33333333333333337,0.5714285714285715,31.4,106.2,110.0,12
0,2.0,12.6,5.6,5.4,2.2,0.6071428571428572,0.25925925925925924,0.7272727272727273,31.0,102.4,111.7,16
0,1.0,13.8,5.2,6.0,2.2,0.5769230769230769,0.3333333333333333,0.8181818181818181,32.6,99.0,112.8,11
0,2.0,12.6,5.2,5.4,2.0,0.5,0.3333333333333333,1.0,33.2,105.3,112.5,15
1,2.0,12.6,4.2,5.0,2.0,0.47619047619047616,0.44000000000000006,1.0,32.0,100.3,113.8,10
0,5.0,12.8,4.2,5.2,2.0,0.38095238095238093,0.5,0.9,30.6,99.9,115.2,7
1,2.0,11.8,4.6,4.2,1.6,0.4347826086956522,0.5238095238095238,0.7499999999999999,29.4,101.8,116.6,14
0,4.0,11.4,4.8,3.8,2.2,0.45833333333333337,0.4736842105263158,0.7272727272727273,27.4,99.4,116.2,19
0,3.0,13.0,4.2,4.8,3.0,0.47619047619047616,0.45833333333333337,0.7999999999999999,28.0,100.6,113.5,15
0,1.0,13.0,4.4,4.4,3.0,0.5909090909090908,0.40909090909090906,0.7999999999999999,26.6,101.3,108.9,23
1,3.0,15.6,4.8,5.0,3.0,0.7916666666666666,0.36,0.8666666666666667,29.4,102.6,104.7,12
0,1.0,16.6,5.2,5.6,3.8,0.7307692307692307,0.35714285714285715,0.7894736842105263,31.0,98.3,108.0,8
0,2.0,15.4,5.0,5.6,3.2,0.76,0.32142857142857145,0.7499999999999999,30.0,98.3,108.0,13
1,2.0,14.2,6.0,4.2,2.8,0.7333333333333334,0.2857142857142857,0.6428571428571429,29.8,101.4,110.9,16
0,2.0,14.4,6.2,4.6,2.8,0.6774193548387097,0.30434782608695654,0.6428571428571429,31.4,98.4,110.6,21
1,2.0,14.0,6.8,4.2,3.2,0.6176470588235294,0.2857142857142857,0.625,31.4,99.4,116.2,20
0,2.0,15.6,7.6,4.2,2.0,0.6578947368421053,0.3333333333333333,0.7,30.2,99.0,112.8,10
1,4.0,16.0,7.6,4.2,1.6,0.6578947368421053,0.38095238095238093,0.7499999999999999,31.8,101.3,108.9,11
0,2.0,15.6,7.2,4.8,2.0,0.6111111111111112,0.375,0.7,31.0,102.4,109.0,15
1,2.0,15.4,6.6,5.0,3.0,0.6060606060606061,0.36,0.6666666666666666,30.2,102.4,109.0,17
0,2.0,14.6,6.0,4.8,3.4,0.6,0.33333333333333337,0.7647058823529412,29.2,102.5,110.1,28
1,2.0,16.2,4.8,5.8,3.8,0.5,0.48275862068965514,0.7894736842105263,31.2,99.9,115.2,18
