HOME,REST,FORM_PTS,FORM_FG2A,FORM_FG3A,FORM_FTA,FG2_PCT,FG3_PCT,FT_PCT,FORM_MIN,OPP_PACE,OPP_DEF_RATING,PTS
0,1.0,11.0,6.6,0.0,3.8,0.6363636363636365,0,0.6842105263157895,35.2,101.8,114.1,10
1,2.0,10.4,6.6,0.0,3.8,0.5757575757575758,0,0.7368421052631579,32.8,100.3,113.8,8
0,3.0,11.4,7.2,0.0,3.4,0.6111111111111112,0,0.7647058823529412,31.8,105.3,112.5,21
1,1.0,12.6,7.8,0.0,3.2,0.6410256410256411,0,0.8125,30.4,101.6,111.9,8
1,2.0,12.8,7.8,0.0,2.2,0.6923076923076924,0,0.9090909090909091,28.8,98.4,110.6,7
0,2.0,10.8,6.6,0.0,2.0,0.6666666666666667,0,1.0,28.2,101.6,111.9,9
0,1.0,10.6,5.6,0.0,2.4,0.7500000000000001,0,0.9166666666666667,30.2,101.6,111.9,12
0,2.0,11.4,6.2,0.0,3.4,0.6774193548387097,0,0.8823529411764706,31.0,100.6,113.5,11
1,2.0,9.4,5.4,0.0,3.0,0.6296296296296295,0,0.8666666666666667,32.8,99.4,116.2,11
0,4.0,10.0,6.0,0.0,3.8,0.5666666666666667,0,0.8421052631578948,35.6,102.4,111.7,13
0,3.0,11.2,6.2,0.0,4.4,0.6129032258064515,0,0.8181818181818181,36.2,98.3,108.0,10
1,2.0,11.4,6.6,0.0,3.6,0.6363636363636365,0,0.8333333333333333,36.4,101.6,108.0,5
1,1.0,10.0,5.6,0.0,3.0,0.6785714285714286,0,0.7999999999999999,38.4,100.6,113.5,9
1,2.0,9.6,4.6,0.0,4.0,0.6956521739130436,0,0.8,37.6,99.7,107.9,8
1,3.0,9.0,4.4,0.0,4.0,0.6818181818181818,0,0.75,38.8,100.1,111.4,17
0,2.0,9.8,5.0,0.0,3.6,0.72,0,0.7222222222222222,38.0,99.7,107.9,8
0,2.0,9.4,4.8,0.0,3.6,0.7083333333333334,0,0.7222222222222222,37.0,101.3,108.9,17
0,2.0,11.8,6.2,0.0,4.2,0.6774193548387097,0,0.8095238095238094,35.2,101.3,108.9,4
1,5.0,10.8,6.4,0.0,3.8,0.625,0,0.7368421052631579,35.4,100.1,111.4,12
0,2.0,11.6,6.6,0.0,3.8,0.6666666666666667,0,0.7368421052631579,34.4,101.8,114.1,10
1,4.0,10.2,7.2,0.0,3.2,0.5555555555555556,0,0.6875,35.0,99.3,111.8,3
1,2.0,9.2,6.6,0.0,3.6,0.5454545454545455,0,0.5555555555555556,33.6,101.3,108.9,18
0,2.0,9.4,6.2,0.0,4.0,0.6129032258064515,0,0.45,34.0,105.2,112.6,2
