HOME,REST,FORM_PTS,FORM_FG2A,FORM_FG3A,FORM_FTA,FG2_PCT,FG3_PCT,FT_PCT,FORM_MIN,OPP_PACE,OPP_DEF_RATING,PTS
0,1.0,26.8,13.6,7.8,5.4,0.5882352941176471,0.25641025641025644,0.8888888888888888,31.4,99.7,107.9,25
1,2.0,26.2,12.0,7.4,6.2,0.6,0.27027027027027023,0.9354838709677419,30.4,98.6,106.8,21
0,2.0,25.8,12.2,6.2,6.4,0.5901639344262296,0.2903225806451613,0.9375,31.6,102.3,113.1,28
1,2.0,24.4,12.2,5.2,6.2,0.6229508196721312,0.23076923076923075,0.9032258064516128,32.2,101.6,108.0,29
1,2.0,26.6,13.0,3.6,7.2,0.6615384615384615,0.2777777777777778,0.888888888888889,32.4,101.3,108.9,24
1,1.0,25.4,13.6,2.8,8.8,0.5588235294117647,0.28571428571428575,0.8863636363636362,33.6,99.7,107.9,45
1,2.0,29.4,14.2,3.6,10.2,0.591549295774648,0.3333333333333333,0.8823529411764707,35.2,101.8,116.6,29
1,2.0,31.0,15.2,4.4,10.0,0.5789473684210527,0.36363636363636365,0.86,34.8,99.4,116.2,28
1,2.0,31.0,15.6,5.2,8.8,0.5512820512820513,0.3846153846153846,0.8863636363636362,33.6,101.7,113.0,36
0,2.0,32.4,16.4,5.0,9.6,0.5487804878048781,0.4,0.8750000000000001,35.4,101.8,114.1,32
1,1.0,34.0,15.8,6.2,8.0,0.5696202531645569,0.48387096774193544,0.875,36.0,101.6,111.9,28
0,5.0,30.6,16.6,5.0,7.6,0.5180722891566264,0.44000000000000006,0.8947368421052632,36.0,100.6,113.5,37
0,2.0,32.2,15.6,5.0,9.2,0.5512820512820513,0.48,0.8478260869565218,36.4,101.3,108.9,35
0,2.0,33.6,15.2,6.0,10.4,0.5789473684210527,0.43333333333333335,0.7884615384615383,37.6,100.1,111.4,36
0,2.0,33.6,15.2,7.8,9.8,0.5526315789473685,0.38461538461538464,0.7959183673469387,37.4,101.6,108.0,32
1,2.0,33.6,15.2,7.6,10.8,0.5657894736842105,0.34210526315789475,0.7962962962962962,37.2,102.7,117.7,26
0,2.0,33.2,14.4,8.4,8.4,0.625,0.35714285714285715,0.7380952380952381,35.4,102.4,111.7,30
0,2.0,31.8,14.2,9.0,7.8,0.647887323943662,0.26666666666666666,0.7948717948717949,34.4,101.8,116.6,31
1,3.0,31.0,14.0,7.2,8.2,0.6428571428571429,0.2777777777777778,0.853658536585366,33.4,101.7,113.0,39
1,4.0,31.6,13.2,7.0,7.4,0.6818181818181819,0.34285714285714286,0.8648648648648649,33.6,101.6,108.0,32
0,5.0,31.6,13.8,6.8,8.2,0.6376811594202899,0.3235294117647059,0.902439024390244,34.0,98.6,106.8,35
0,1.0,33.4,15.4,6.6,8.6,0.6363636363636364,0.30303030303030304,0.9069767441860466,35.2,98.4,110.6,25
1,3.0,32.4,16.2,6.4,7.4,0.5679012345679012,0.37499999999999994,0.9189189189189189,36.8,103.5,116.2,41
0,3.0,34.4,17.0,7.0,7.0,0.5647058823529412,0.39999999999999997,0.9714285714285714,37.0,102.2,111.3,45
0,2.0,35.6,17.6,6.2,8.4,0.5568181818181818,0.41935483870967744,0.976190476190476,37.0,100.3,113.8,22
1,1.0,33.6,16.4,6.2,6.6,0.6097560975609757,0.3870967741935484,0.9696969696969698,36.0,106.2,110.0,35
1,2.0,33.6,15.0,6.2,7.0,0.6533333333333334,0.3870967741935484,0.9714285714285714,34.4,99.8,108.6,40
1,2.0,36.6,15.4,5.4,8.4,0.7012987012987013,0.4444444444444444,0.9285714285714285,33.6,99.7,107.9,29
1,1.0,34.2,14.0,5.2,8.2,0.7142857142857143,0.4230769230769231,0.926829268292683,32.6,99.3,111.8,33
1,2.0,31.8,15.2,4.8,7.4,0.6447368421052633,0.375,0.9189189189189189,32.4,98.3,108.0,33
0,3.0,34.0,16.8,4.8,7.8,0.5952380952380952,0.45833333333333337,0.9487179487179488,33.6,102.4,109.0,31
0,2.0,33.2,18.2,5.0,7.4,0.5384615384615385,0.44000000000000006,0.9459459459459459,35.6,99.3,111.8,39
0,2.0,33.0,18.6,4.2,7.2,0.5483870967741935,0.42857142857142855,1.0,34.6,103.5,116.2,27
0,2.0,32.6,18.8,4.0,8.8,0.5106382978723404,0.4,0.9772727272727272,34.6,99.9,115.2,32
1,2.0,32.4,16.6,4.0,9.0,0.5903614457831325,0.35,0.9555555555555555,33.8,102.4,109.0,40
1,3.0,33.8,17.4,3.8,8.4,0.6551724137931035,0.2631578947368421,0.9523809523809523,31.8,99.0,112.8,27
1,3.0,33.0,15.2,3.4,9.6,0.6842105263157895,0.29411764705882354,0.9583333333333333,30.0,102.7,117.7,54
1,1.0,36.0,16.2,5.2,11.6,0.6419753086419754,0.2692307692307692,0.9482758620689655,31.6,101.7,113.0,31
0,3.0,36.8,18.0,5.0,9.4,0.6555555555555556,0.27999999999999997,0.9574468085106382,33.6,101.6,111.9,35
0,3.0,37.4,19.8,5.2,9.6,0.5858585858585859,0.3076923076923077,0.9791666666666667,34.4,101.3,108.9,52
1,3.0,39.8,20.2,5.4,12.8,0.5544554455445544,0.3333333333333333,0.9375,36.4,100.6,113.5,29
1,2.0,40.2,21.0,5.8,12.8,0.5523809523809524,0.3103448275862069,0.9062499999999999,36.6,101.4,110.9,34
1,2.0,36.2,19.2,4.4,9.8,0.59375,0.36363636363636365,0.8775510204081631,33.6,99.4,116.2,50
1,2.0,40.0,19.2,5.2,11.0,0.6354166666666666,0.3846153846153846,0.8727272727272727,32.4,102.4,111.7,25
0,1.0,38.0,16.2,5.6,12.0,0.6790123456790124,0.32142857142857145,0.8833333333333333,30.8,106.2,110.0,32
1,2.0,34.0,15.8,5.4,11.0,0.5822784810126581,0.37037037037037035,0.8727272727272727,29.8,101.8,116.6,31
1,2.0,34.4,15.2,6.0,10.6,0.5657894736842105,0.43333333333333335,0.8867924528301887,30.0,98.4,110.6,32
0,1.0,34.0,14.6,7.2,11.8,0.5068493150684932,0.41666666666666663,0.8644067796610169,33.2,99.8,108.6,24
0,8.0,28.8,14.0,6.2,11.6,0.38571428571428573,0.41935483870967744,0.8793103448275862,33.2,102.7,117.7,21
0,2.0,28.0,15.2,5.8,10.0,0.3815789473684211,0.4482758620689655,0.86,33.8,99.8,108.6,37
1,1.0,29.0,14.6,6.0,9.0,0.4657534246575342,0.43333333333333335,0.8444444444444444,34.6,99.8,108.6,39
0,2.0,30.6,15.4,5.2,10.8,0.4675324675324675,0.4615384615384615,0.8333333333333333,36.8,99.0,112.8,27
0,2.0,29.6,14.6,3.8,11.6,0.4794520547945206,0.4736842105263158,0.8793103448275862,36.0,105.2,112.6,31
0,2.0,31.0,14.0,4.8,10.2,0.5571428571428572,0.45833333333333337,0.8627450980392158,36.0,101.8,114.1,31
1,1.0,33.0,14.4,5.0,10.8,0.5555555555555556,0.52,0.8518518518518517,36.0,101.6,108.0,51
0,2.0,35.8,15.0,5.6,10.6,0.5733333333333334,0.5357142857142857,0.9056603773584906,35.6,106.2,110.0,41
1,4.0,36.2,16.0,5.6,9.2,0.575,0.5357142857142857,0.9565217391304349,34.2,102.3,113.1,40
1,1.0,38.8,18.4,7.4,8.2,0.5760869565217391,0.43243243243243246,0.9756097560975611,34.4,102.3,113.1,25
0,2.0,37.6,16.6,7.4,8.6,0.5903614457831325,0.43243243243243246,0.9767441860465117,34.8,98.3,108.0,34
0,3.0,38.2,16.4,7.8,9.0,0.6219512195121951,0.38461538461538464,0.9777777777777779,36.2,102.5,110.1,48
0,1.0,37.6,16.2,7.2,9.0,0.6296296296296297,0.38888888888888884,0.9777777777777779,36.6,101.4,110.9,31
1,5.0,35.6,16.6,7.2,9.2,0.6144578313253011,0.3055555555555556,0.9347826086956522,36.4,100.3,113.8,30
0,2.0,33.6,15.6,5.4,8.0,0.6282051282051283,0.40740740740740744,0.925,35.4,99.7,107.9,26
0,2.0,33.8,18.6,5.4,9.0,0.5376344086021505,0.3333333333333333,0.9333333333333333,35.6,100.6,113.5,32
1,2.0,33.4,19.4,5.2,8.8,0.4948453608247423,0.3846153846153846,0.9318181818181817,34.4,106.2,110.0,37
1,2.0,31.2,20.0,4.4,8.6,0.5,0.2727272727272727,0.8837209302325582,33.6,102.2,111.3,33
1,2.0,31.6,19.0,4.6,8.8,0.4842105263157894,0.391304347826087,0.8863636363636362,33.0,105.3,112.5,27
1,2.0,31.0,18.2,4.6,9.8,0.46153846153846156,0.391304347826087,0.8979591836734694,32.4,102.5,110.1,33
0,2.0,32.4,17.6,4.6,10.0,0.5,0.4347826086956522,0.8800000000000001,32.0,101.6,108.0,22
1,2.0,30.4,17.4,4.6,8.4,0.5287356321839081,0.3478260869565218,0.8571428571428571,32.4,100.1,111.4,26
1,2.0,28.2,16.4,5.2,6.6,0.5,0.3846153846153846,0.8787878787878788,31.6,100.1,111.4,42
