HOME,REST,FORM_PTS,FORM_FG2A,FORM_FG3A,FORM_FTA,FG2_PCT,FG3_PCT,FT_PCT,FORM_MIN,OPP_PACE,OPP_DEF_RATING,PTS
0,2.0,21.2,5.6,9.0,4.6,0.46428571428571436,0.4222222222222222,1.0,27.4,102.4,109.0,12
0,2.0,20.2,6.2,8.4,3.6,0.5161290322580645,0.4047619047619047,1.0,27.2,102.6,104.7,36
1,2.0,23.4,6.8,8.4,4.0,0.5588235294117647,0.47619047619047616,0.95,29.2,101.7,113.0,37
1,3.0,27.2,9.0,9.4,4.6,0.5777777777777778,0.44680851063829785,0.9130434782608696,30.8,106.2,110.0,13
0,3.0,25.0,8.2,9.0,3.8,0.5853658536585367,0.4444444444444444,0.8947368421052632,31.2,99.7,107.9,26
1,2.0,24.8,7.8,10.2,2.4,0.6153846153846154,0.4313725490196079,0.8333333333333334,30.8,105.2,112.6,23
0,2.0,27.0,7.4,10.6,3.2,0.6216216216216215,0.4716981132075472,0.8749999999999999,32.0,101.8,116.6,19
0,1.0,23.6,6.6,9.4,3.0,0.5757575757575758,0.46808510638297873,0.9333333333333332,31.2,101.8,114.1,14
1,2.0,19.0,4.8,9.0,2.2,0.5,0.4444444444444444,1.0,30.6,99.0,112.8,28
0,5.0,22.0,4.6,10.8,2.6,0.47826086956521746,0.4629629629629629,1.0,31.2,99.4,116.2,23
0,3.0,21.4,5.6,9.8,3.6,0.4285714285714286,0.4489795918367347,0.9444444444444444,31.2,102.3,113.1,24
1,3.0,21.6,6.4,11.6,3.4,0.40625,0.37931034482758624,0.9411764705882354,32.0,99.8,108.6,23
1,2.0,22.4,6.8,12.0,4.4,0.4117647058823529,0.35000000000000003,0.9545454545454545,31.8,99.8,108.6,30
0,3.0,25.6,7.0,12.2,6.4,0.42857142857142855,0.3770491803278688,0.9062499999999999,32.4,101.6,108.0,19
1,4.0,23.8,8.4,10.8,5.8,0.47619047619047616,0.3333333333333333,0.8620689655172414,33.4,101.7,113.0,26
0,4.0,24.4,7.4,11.4,5.0,0.45945945945945943,0.3859649122807018,0.8800000000000001,34.0,106.2,110.0,2
0,2.0,20.0,6.0,9.6,4.6,0.43333333333333335,0.375,0.8695652173913044,32.0,99.8,108.6,31
1,2.0,21.6,5.4,11.0,4.0,0.48148148148148145,0.4,0.8,32.4,102.2,111.3,10
1,2.0,17.6,4.8,10.6,2.6,0.4166666666666667,0.3584905660377358,0.8461538461538461,32.4,100.1,111.4,38
1,3.0,21.4,5.0,11.8,2.8,0.44000000000000006,0.4067796610169491,0.9285714285714287,32.8,99.4,116.2,22
1,2.0,20.6,5.6,11.8,2.6,0.5,0.3559322033898305,0.923076923076923,32.8,102.4,109.0,11
1,3.0,22.4,6.0,12.8,2.2,0.5,0.37499999999999994,0.9090909090909091,33.8,99.9,115.2,30
1,3.0,22.2,6.4,11.2,1.2,0.46875,0.44642857142857145,1.0,33.0,100.6,113.5,26
1,2.0,25.4,6.4,11.0,1.6,0.5937499999999999,0.49090909090909096,1.0,32.0,98.4,110.6,31
0,2.0,24.0,5.6,11.4,1.4,0.5714285714285715,0.4736842105263158,1.0,31.4,102.5,110.1,17
0,4.0,23.0,5.2,11.6,2.4,0.5384615384615384,0.4310344827586207,1.0,31.6,102.4,111.7,26
0,2.0,26.0,6.0,11.4,3.2,0.6,0.45614035087719296,1.0,32.8,99.8,108.6,31
1,3.0,26.2,6.4,12.2,4.0,0.5625,0.4098360655737705,1.0,34.2,103.5,116.2,26
1,2.0,26.2,7.2,13.4,3.2,0.5555555555555556,0.3731343283582089,1.0,35.0,98.3,108.0,18
0,2.0,23.6,7.0,12.4,3.4,0.5428571428571428,0.33870967741935487,1.0,33.8,100.6,113.5,14
1,1.0,23.0,7.0,10.4,2.6,0.6,0.3846153846153846,1.0,33.4,105.3,112.5,21
1,2.0,22.0,7.0,10.8,1.8,0.5428571428571428,0.3888888888888889,1.0,32.6,100.1,111.4,13
1,4.0,18.4,6.8,10.2,1.8,0.5294117647058824,0.3137254901960785,0.888888888888889,31.6,102.6,104.7,21
1,2.0,17.4,6.2,9.4,2.2,0.41935483870967744,0.36170212765957444,0.9090909090909091,31.4,99.4,116.2,14
1,3.0,16.6,7.0,8.2,2.4,0.42857142857142855,0.34146341463414637,0.9166666666666667,32.2,98.6,106.8,24
0,2.0,18.6,7.4,9.8,3.8,0.4054054054054054,0.3061224489795918,0.9473684210526316,32.2,102.7,117.7,32
0,1.0,20.8,8.6,11.0,4.2,0.4186046511627907,0.29090909090909095,0.9523809523809523,33.0,100.1,111.4,37
0,2.0,25.6,10.0,13.2,4.4,0.45999999999999996,0.30303030303030304,1.0,34.0,105.3,112.5,34
0,2.0,28.2,9.6,14.4,5.2,0.5,0.3194444444444444,0.923076923076923,34.2,101.4,110.9,38
0,2.0,33.0,9.6,16.4,6.4,0.5416666666666667,0.34146341463414637,0.9062499999999999,34.8,101.7,113.0,25
0,1.0,33.2,9.8,16.6,5.6,0.5306122448979592,0.36144578313253006,0.8571428571428572,35.4,101.6,108.0,27
0,8.0,32.2,8.0,15.6,7.0,0.55,0.3717948717948718,0.8571428571428571,35.4,100.6,113.5,20
1,2.0,28.8,5.8,13.4,6.4,0.6206896551724138,0.40298507462686567,0.84375,34.2,101.7,113.0,30
1,2.0,28.0,7.6,11.8,5.4,0.6578947368421053,0.3728813559322034,0.8888888888888888,33.2,100.3,113.8,15
0,2.0,23.4,7.0,10.4,3.8,0.6571428571428571,0.34615384615384615,0.8947368421052632,31.2,98.6,106.8,56
0,2.0,29.6,6.2,11.6,5.4,0.7096774193548387,0.4482758620689655,0.9629629629629629,30.6,99.9,115.2,29
0,2.0,30.0,6.6,11.4,4.4,0.7575757575757576,0.45614035087719296,1.0,30.8,100.3,113.8,21
0,1.0,30.2,6.8,11.4,5.6,0.7352941176470589,0.43859649122807015,0.9285714285714287,30.6,99.3,111.8,28
0,2.0,29.8,6.8,11.6,5.6,0.6176470588235294,0.4655172413793104,0.9285714285714287,31.4,99.0,112.8,40
1,2.0,34.8,7.2,12.4,7.2,0.6111111111111112,0.5161290322580645,0.9444444444444444,33.8,102.5,110.1,32
1,2.0,30.0,7.4,11.6,7.2,0.5945945945945946,0.41379310344827586,0.9444444444444444,33.6,101.6,111.9,24
1,3.0,29.0,6.8,11.4,7.8,0.5294117647058824,0.42105263157894735,0.9487179487179488,33.2,100.6,113.5,11
1,2.0,27.0,6.4,10.8,6.4,0.53125,0.4259259259259259,1.0,33.2,99.3,111.8,28
1,2.0,27.0,5.4,11.6,7.6,0.5925925925925926,0.37931034482758624,0.9736842105263159,33.6,102.3,113.1,20
1,3.0,23.0,5.4,11.8,6.6,0.48148148148148145,0.3220338983050847,0.9696969696969698,33.6,102.4,111.7,17
0,8.0,20.0,4.8,9.6,5.2,0.5416666666666667,0.3541666666666667,0.8846153846153845,32.0,101.8,116.6,23
0,2.0,19.8,5.2,10.6,4.8,0.5384615384615384,0.32075471698113206,0.8333333333333334,32.0,101.8,114.1,13
0,2.0,20.2,5.8,10.2,5.2,0.48275862068965514,0.33333333333333337,0.8461538461538461,31.2,106.2,110.0,52
0,2.0,25.0,6.6,11.6,5.0,0.42424242424242425,0.4310344827586207,0.8800000000000001,31.6,100.1,111.4,37
1,1.0,28.4,7.2,11.0,7.0,0.5,0.45454545454545453,0.8857142857142858,31.2,102.3,113.1,36
1,2.0,32.2,8.2,13.2,6.6,0.48780487804878053,0.4545454545454546,0.9393939393939394,32.6,101.6,108.0,3
0,2.0,28.2,7.6,11.6,5.6,0.4736842105263158,0.4482758620689655,0.9642857142857144,32.4,99.4,116.2,25
1,1.0,30.6,8.0,12.6,5.8,0.55,0.4285714285714286,0.9655172413793103,32.4,101.8,114.1,30
0,2.0,26.2,7.8,11.4,4.4,0.6410256410256411,0.3508771929824561,0.9545454545454545,32.4,101.6,111.9,14
1,2.0,21.6,7.0,10.8,1.6,0.6571428571428571,0.3333333333333333,1.0,31.0,99.7,107.9,36
