HOME,REST,FORM_PTS,FORM_FG2A,FORM_FG3A,FORM_FTA,FG2_PCT,FG3_PCT,FT_PCT,FORM_MIN,OPP_PACE,OPP_DEF_RATING,PTS
1,2.0,18.2,8.0,6.8,4.6,0.575,0.23529411764705885,0.9130434782608696,30.8,99.8,108.6,17
0,2.0,18.2,7.6,6.6,3.8,0.6578947368421053,0.24242424242424246,0.8947368421052632,31.4,99.7,107.9,24
0,2.0,17.2,7.8,7.4,3.0,0.6153846153846154,0.21621621621621623,0.9333333333333332,32.2,101.6,108.0,15
1,1.0,17.4,7.6,7.6,3.0,0.631578947368421,0.2105263157894737,1.0,30.2,101.6,111.9,12
1,2.0,18.6,8.6,8.2,2.8,0.5813953488372093,0.24390243902439027,0.9285714285714287,31.2,102.7,117.7,24
1,2.0,18.4,8.4,7.4,2.6,0.5238095238095238,0.3243243243243243,0.923076923076923,31.0,100.6,113.5,34
1,2.0,21.8,8.8,8.4,2.6,0.5227272727272726,0.4047619047619047,0.923076923076923,31.6,103.5,116.2,50
1,2.0,27.0,8.8,9.8,3.6,0.5909090909090908,0.4693877551020407,0.7777777777777777,31.2,100.1,111.4,28
1,8.0,29.6,9.6,11.2,3.2,0.6041666666666666,0.46428571428571436,0.7499999999999999,33.0,101.3,108.9,25
0,3.0,32.2,9.8,12.6,3.4,0.6530612244897959,0.4444444444444444,0.7647058823529412,33.4,102.7,117.7,34
1,1.0,34.2,10.4,13.6,3.4,0.7115384615384616,0.4117647058823529,0.7647058823529412,34.2,100.1,111.4,20
0,4.0,31.4,10.6,13.0,3.0,0.6981132075471699,0.3692307692307692,0.7333333333333334,34.0,100.6,113.5,34
0,2.0,28.2,9.6,11.6,3.0,0.6875,0.3620689655172414,0.7999999999999999,35.0,99.4,116.2,15
1,5.0,25.6,9.0,10.8,3.4,0.6666666666666666,0.3333333333333333,0.8235294117647058,35.0,101.8,116.6,25
0,5.0,25.6,9.2,9.6,3.4,0.673913043478261,0.3541666666666667,0.8823529411764706,33.4,101.6,111.9,28
1,2.0,24.4,10.0,8.0,5.0,0.6,0.325,0.9199999999999999,32.8,99.8,108.6,20
1,4.0,24.4,10.4,7.6,5.6,0.5769230769230769,0.3157894736842105,0.9285714285714287,32.8,105.2,112.6,42
1,2.0,26.0,10.6,8.8,6.2,0.5660377358490566,0.3181818181818181,0.9032258064516128,32.8,101.6,111.9,30
0,2.0,29.0,10.4,8.6,8.0,0.5576923076923077,0.3953488372093023,0.9,32.0,99.9,115.2,26
0,2.0,29.2,9.8,9.8,7.6,0.5306122448979592,0.4081632653061224,0.8947368421052632,34.2,99.3,111.8,42
0,2.0,32.0,10.2,11.8,6.4,0.5882352941176471,0.4067796610169491,0.8749999999999999,35.4,99.0,112.8,19
0,2.0,31.8,9.2,11.6,6.2,0.5869565217391305,0.4482758620689655,0.8709677419354839,35.8,99.8,108.6,34
1,2.0,30.2,11.0,11.0,4.8,0.5454545454545454,0.41818181818181815,0.9166666666666667,35.8,99.7,107.9,27
0,3.0,29.6,11.8,10.6,4.0,0.5932203389830508,0.37735849056603776,0.9,35.0,102.3,113.1,35
1,1.0,31.4,13.8,9.2,4.4,0.6086956521739131,0.391304347826087,0.8636363636363635,34.2,102.3,113.1,20
0,2.0,27.0,12.2,8.4,4.4,0.6065573770491804,0.3333333333333333,0.8636363636363635,34.0,105.3,112.5,23
0,2.0,27.8,12.8,9.4,4.4,0.5937499999999999,0.3191489361702127,0.8181818181818181,34.0,101.4,110.9,10
0,5.0,23.0,10.0,8.2,3.4,0.62,0.3170731707317074,0.8235294117647058,33.2,100.1,111.4,23
1,2.0,22.2,9.8,8.2,2.4,0.6122448979591836,0.34146341463414637,0.75,34.8,106.2,110.0,13
1,2.0,17.8,8.4,9.0,1.6,0.5238095238095238,0.2888888888888889,0.7499999999999999,35.6,106.2,110.0,19
0,2.0,17.6,9.4,8.0,0.8,0.46808510638297873,0.35,0.5,34.0,98.4,110.6,21
0,4.0,17.2,9.2,7.4,1.6,0.47826086956521746,0.35135135135135137,0.37499999999999994,33.0,102.2,111.3,30
1,2.0,21.2,10.4,8.4,1.6,0.5576923076923077,0.35714285714285715,0.37499999999999994,32.8,102.2,111.3,20
1,4.0,20.6,10.0,8.6,2.2,0.52,0.3488372093023256,0.5454545454545454,33.2,99.7,107.9,23
1,2.0,22.6,10.2,7.8,3.2,0.5686274509803921,0.38461538461538464,0.625,32.8,101.4,110.9,30
0,3.0,24.8,9.6,8.6,4.6,0.5833333333333334,0.3953488372093023,0.7391304347826088,32.8,106.2,110.0,27
0,2.0,26.0,10.4,8.2,4.8,0.5961538461538461,0.39024390243902446,0.8333333333333334,33.0,105.2,112.6,24
0,2.0,24.8,10.4,7.0,6.4,0.5384615384615384,0.39999999999999997,0.8125,32.8,100.3,113.8,16
0,1.0,24.0,10.8,7.4,5.6,0.537037037037037,0.35135135135135137,0.8214285714285714,32.4,98.6,106.8,18
0,2.0,23.0,9.8,7.4,6.2,0.5714285714285714,0.2972972972972973,0.8387096774193549,31.6,103.5,116.2,31
0,2.0,23.2,10.6,6.8,5.6,0.5849056603773585,0.3235294117647059,0.7500000000000001,33.0,98.3,108.0,17
